brand,distance
Brand A,251.2
Brand A,245.1
Brand A,248
Brand A,251.1
Brand A,260.5
Brand A,250
Brand A,253.9
Brand A,244.6
Brand A,254.6
Brand A,248.8
Brand B,263.2
Brand B,262.9
Brand B,265
Brand B,254.5
Brand B,264.3
Brand B,257
Brand B,262.8
Brand B,264.4
Brand B,260.6
Brand B,255.9
Brand C,269.7
Brand C,263.2
Brand C,277.5
Brand C,267.4
Brand C,270.5
Brand C,265.5
Brand C,270.7
Brand C,272.9
Brand C,275.6
Brand C,266.5
Brand D,251.6
Brand D,248.6
Brand D,249.4
Brand D,242
Brand D,246.5
Brand D,251.3
Brand D,261.8
Brand D,249
Brand D,247.1
Brand D,245.9
